sex,age,cause,country,2016,2017,2018,2019,2020,2021,2022,2023
Males,From 15 to 29 years,Use of alcohol,Portugal,0.0,0.0,0.0,0.0,0.0,1.0,,
Total,From 15 to 29 years,Use of alcohol,Portugal,0.0,0.0,0.0,0.0,0.0,1.0,,
Females,From 30 to 44 years,Use of alcohol,Portugal,,,0.0,0.0,1.0,1.0,,
Males,From 30 to 44 years,Use of alcohol,Portugal,,,0.0,0.0,2.0,1.0,,
Total,From 30 to 44 years,Use of alcohol,Portugal,,,0.0,0.0,3.0,2.0,,
Females,From 45 to 64 years,Use of alcohol,Portugal,,,0.0,0.0,7.0,2.0,,
Males,From 45 to 64 years,Use of alcohol,Portugal,,,0.0,0.0,40.0,50.0,,
Total,From 45 to 64 years,Use of alcohol,Portugal,,,0.0,0.0,47.0,52.0,,
Females,Less than 15 years,Use of alcohol,Portugal,0.0,0.0,0.0,0.0,0.0,0.0,,
Males,Less than 15 years,Use of alcohol,Portugal,0.0,0.0,0.0,0.0,0.0,0.0,,
Total,Less than 15 years,Use of alcohol,Portugal,0.0,0.0,0.0,0.0,0.0,0.0,,
Females,Total,Use of alcohol,Portugal,11.0,14.0,8.0,12.0,15.0,11.0,,
Males,Total,Use of alcohol,Portugal,78.0,71.0,83.0,88.0,99.0,96.0,,
Total,Total,Use of alcohol,Portugal,89.0,85.0,91.0,100.0,114.0,107.0,,
Females,65 years or over,Drug dependence,Romania,,0.0,0.0,1.0,0.0,0.0,,
Males,65 years or over,Drug dependence,Romania,1.0,0.0,0.0,0.0,2.0,0.0,,
Total,65 years or over,Drug dependence,Romania,1.0,0.0,0.0,1.0,2.0,0.0,,
Females,From 15 to 29 years,Drug dependence,Romania,,0.0,0.0,0.0,0.0,0.0,,
Males,From 15 to 29 years,Drug dependence,Romania,0.0,0.0,1.0,2.0,1.0,0.0,,
Total,From 15 to 29 years,Drug dependence,Romania,0.0,0.0,1.0,2.0,1.0,0.0,,
Females,From 30 to 44 years,Drug dependence,Romania,,,0.0,0.0,0.0,2.0,,
Males,From 30 to 44 years,Drug dependence,Romania,,,0.0,4.0,2.0,6.0,,
Total,From 30 to 44 years,Drug dependence,Romania,,,0.0,4.0,2.0,8.0,,
Females,From 45 to 64 years,Drug dependence,Romania,,,0.0,1.0,0.0,1.0,,
Males,From 45 to 64 years,Drug dependence,Romania,,,0.0,0.0,1.0,1.0,,
Total,From 45 to 64 years,Drug dependence,Romania,,,0.0,1.0,1.0,2.0,,
Females,Less than 15 years,Drug dependence,Romania,,0.0,0.0,0.0,0.0,0.0,,
Males,Less than 15 years,Drug dependence,Romania,0.0,0.0,0.0,0.0,0.0,0.0,,
Total,Less than 15 years,Drug dependence,Romania,0.0,0.0,0.0,0.0,0.0,0.0,,
Females,Total,Drug dependence,Romania,,1.0,0.0,2.0,0.0,3.0,,
Males,Total,Drug dependence,Romania,4.0,0.0,3.0,6.0,6.0,7.0,,
Total,Total,Drug dependence,Romania,4.0,1.0,3.0,8.0,6.0,10.0,,
Females,65 years or over,Intentional self-harm,Romania,108.0,112.0,113.0,90.0,83.0,86.0,,
Males,65 years or over,Intentional self-harm,Romania,402.0,378.0,433.0,383.0,414.0,425.0,,
Total,65 years or over,Intentional self-harm,Romania,510.0,490.0,546.0,473.0,497.0,511.0,,
Females,From 15 to 29 years,Intentional self-harm,Romania,28.0,25.0,30.0,20.0,25.0,23.0,,
Males,From 15 to 29 years,Intentional self-harm,Romania,153.0,170.0,137.0,167.0,128.0,133.0,,
Total,From 15 to 29 years,Intentional self-harm,Romania,181.0,195.0,167.0,187.0,153.0,156.0,,
Females,From 30 to 44 years,Intentional self-harm,Romania,,,0.0,37.0,45.0,52.0,,
Males,From 30 to 44 years,Intentional self-harm,Romania,,,0.0,308.0,267.0,302.0,,
Total,From 30 to 44 years,Intentional self-harm,Romania,,,0.0,345.0,312.0,354.0,,
Females,From 45 to 64 years,Intentional self-harm,Romania,,,0.0,92.0,86.0,96.0,,
Males,From 45 to 64 years,Intentional self-harm,Romania,,,0.0,643.0,679.0,650.0,,
Total,From 45 to 64 years,Intentional self-harm,Romania,,,0.0,735.0,765.0,746.0,,
Females,Less than 15 years,Intentional self-harm,Romania,8.0,4.0,4.0,2.0,2.0,4.0,,
Males,Less than 15 years,Intentional self-harm,Romania,8.0,13.0,8.0,2.0,5.0,12.0,,
Total,Less than 15 years,Intentional self-harm,Romania,16.0,17.0,12.0,4.0,7.0,16.0,,
Females,Total,Intentional self-harm,Romania,318.0,332.0,321.0,241.0,241.0,261.0,,
Males,Total,Intentional self-harm,Romania,1656.0,1599.0,1622.0,1503.0,1493.0,1522.0,,
Total,Total,Intentional self-harm,Romania,1974.0,1931.0,1943.0,1744.0,1734.0,1783.0,,
Females,65 years or over,Mental and behavioural disorders,Romania,109.0,102.0,123.0,117.0,167.0,151.0,0.0,0.0
Males,65 years or over,Mental and behavioural disorders,Romania,137.0,128.0,155.0,129.0,145.0,184.0,0.0,0.0
Total,65 years or over,Mental and behavioural disorders,Romania,246.0,230.0,278.0,246.0,312.0,335.0,0.0,0.0
Females,From 15 to 29 years,Mental and behavioural disorders,Romania,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0
Males,From 15 to 29 years,Mental and behavioural disorders,Romania,0.0,2.0,5.0,7.0,2.0,4.0,0.0,0.0
Total,From 15 to 29 years,Mental and behavioural disorders,Romania,0.0,2.0,5.0,9.0,4.0,6.0,0.0,0.0
Females,From 30 to 44 years,Mental and behavioural disorders,Romania,0.0,0.0,0.0,2.0,4.0,15.0,0.0,0.0
Males,From 30 to 44 years,Mental and behavioural disorders,Romania,0.0,0.0,0.0,31.0,27.0,41.0,0.0,0.0
Total,From 30 to 44 years,Mental and behavioural disorders,Romania,0.0,0.0,0.0,33.0,31.0,56.0,0.0,0.0
Females,From 45 to 64 years,Mental and behavioural disorders,Romania,0.0,0.0,0.0,39.0,44.0,46.0,0.0,0.0
Males,From 45 to 64 years,Mental and behavioural disorders,Romania,0.0,0.0,0.0,117.0,122.0,167.0,0.0,0.0
Total,From 45 to 64 years,Mental and behavioural disorders,Romania,0.0,0.0,0.0,156.0,166.0,213.0,0.0,0.0
Females,Less than 15 years,Mental and behavioural disorders,Romania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Males,Less than 15 years,Mental and behavioural disorders,Romania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,Less than 15 years,Mental and behavioural disorders,Romania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Females,Total,Mental and behavioural disorders,Romania,144.0,137.0,155.0,160.0,217.0,214.0,0.0,0.0
Males,Total,Mental and behavioural disorders,Romania,320.0,305.0,315.0,284.0,296.0,396.0,0.0,0.0
Total,Total,Mental and behavioural disorders,Romania,464.0,442.0,470.0,444.0,513.0,610.0,0.0,0.0
Females,65 years or over,Total,Romania,103598.0,106320.0,106895.0,105380.0,118938.0,137009.0,,
Males,65 years or over,Total,Romania,90831.0,92657.0,94062.0,92580.0,111741.0,123606.0,,
Total,65 years or over,Total,Romania,194429.0,198977.0,200957.0,197960.0,230679.0,260615.0,,
Females,From 15 to 29 years,Total,Romania,490.0,482.0,455.0,448.0,420.0,426.0,,
Males,From 15 to 29 years,Total,Romania,1318.0,1322.0,1124.0,1134.0,1130.0,1173.0,,
Total,From 15 to 29 years,Total,Romania,1808.0,1804.0,1579.0,1582.0,1550.0,1599.0,,
Females,From 30 to 44 years,Total,Romania,,,0.0,1741.0,1983.0,2230.0,,
Males,From 30 to 44 years,Total,Romania,,,0.0,4632.0,4804.0,5238.0,,
Total,From 30 to 44 years,Total,Romania,,,0.0,6373.0,6787.0,7468.0,,
Females,From 45 to 64 years,Total,Romania,,,0.0,14235.0,15850.0,18672.0,,
Males,From 45 to 64 years,Total,Romania,,,0.0,35470.0,38745.0,41864.0,,
Total,From 45 to 64 years,Total,Romania,,,0.0,49705.0,54595.0,60536.0,,
Females,Less than 15 years,Total,Romania,866.0,859.0,805.0,752.0,729.0,701.0,,
Males,Less than 15 years,Total,Romania,1188.0,1136.0,1045.0,954.0,892.0,836.0,,
Total,Less than 15 years,Total,Romania,2054.0,1995.0,1850.0,1706.0,1621.0,1537.0,,
Females,Total,Total,Romania,121895.0,124252.0,124638.0,122556.0,137920.0,159038.0,,
Males,Total,Total,Romania,133492.0,134905.0,136874.0,134770.0,157312.0,172717.0,,
Total,Total,Total,Romania,255387.0,259157.0,261512.0,257326.0,295232.0,331755.0,,
Females,65 years or over,Use of alcohol,Romania,21.0,16.0,9.0,16.0,21.0,17.0,,
Males,65 years or over,Use of alcohol,Romania,80.0,62.0,59.0,63.0,71.0,86.0,,
Total,65 years or over,Use of alcohol,Romania,101.0,78.0,68.0,79.0,92.0,103.0,,
Females,From 15 to 29 years,Use of alcohol,Romania,0.0,0.0,0.0,0.0,0.0,0.0,,
Males,From 15 to 29 years,Use of alcohol,Romania,0.0,0.0,4.0,3.0,1.0,2.0,,
Total,From 15 to 29 years,Use of alcohol,Romania,0.0,0.0,4.0,3.0,1.0,2.0,,
Females,From 30 to 44 years,Use of alcohol,Romania,,,0.0,2.0,2.0,3.0,,
Males,From 30 to 44 years,Use of alcohol,Romania,,,0.0,23.0,23.0,29.0,,
Total,From 30 to 44 years,Use of alcohol,Romania,,,0.0,25.0,25.0,32.0,,
Females,From 45 to 64 years,Use of alcohol,Romania,,,0.0,26.0,18.0,11.0,,
Males,From 45 to 64 years,Use of alcohol,Romania,,,0.0,109.0,107.0,140.0,,
Total,From 45 to 64 years,Use of alcohol,Romania,,,0.0,135.0,125.0,151.0,,
Females,Less than 15 years,Use of alcohol,Romania,0.0,0.0,0.0,0.0,0.0,0.0,,
Males,Less than 15 years,Use of alcohol,Romania,0.0,0.0,0.0,0.0,0.0,0.0,,
Total,Less than 15 years,Use of alcohol,Romania,0.0,0.0,0.0,0.0,0.0,0.0,,
Females,Total,Use of alcohol,Romania,40.0,34.0,25.0,44.0,41.0,31.0,,
Males,Total,Use of alcohol,Romania,226.0,209.0,190.0,198.0,202.0,257.0,,
Total,Total,Use of alcohol,Romania,266.0,243.0,215.0,242.0,243.0,288.0,,
Females,65 years or over,Drug dependence,Serbia,0.0,0.0,0.0,1.0,0.0,5.0,3.0,
Males,65 years or over,Drug dependence,Serbia,0.0,0.0,0.0,1.0,0.0,7.0,3.0,
Total,65 years or over,Drug dependence,Serbia,0.0,0.0,0.0,2.0,0.0,12.0,6.0,
Females,From 15 to 29 years,Drug dependence,Serbia,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Males,From 15 to 29 years,Drug dependence,Serbia,1.0,0.0,2.0,3.0,2.0,3.0,0.0,
Total,From 15 to 29 years,Drug dependence,Serbia,2.0,0.0,2.0,3.0,2.0,3.0,0.0,
Females,From 30 to 44 years,Drug dependence,Serbia,,,0.0,0.0,1.0,3.0,0.0,
Males,From 30 to 44 years,Drug dependence,Serbia,,,0.0,12.0,13.0,18.0,15.0,
Total,From 30 to 44 years,Drug dependence,Serbia,,,0.0,12.0,14.0,21.0,15.0,
Females,From 45 to 64 years,Drug dependence,Serbia,,,0.0,0.0,1.0,2.0,2.0,
Males,From 45 to 64 years,Drug dependence,Serbia,,,0.0,5.0,3.0,5.0,9.0,
Total,From 45 to 64 years,Drug dependence,Serbia,,,0.0,5.0,4.0,7.0,11.0,
Females,Less than 15 years,Drug dependence,Serbia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Males,Less than 15 years,Drug dependence,Serbia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Total,Less than 15 years,Drug dependence,Serbia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Females,Total,Drug dependence,Serbia,3.0,0.0,1.0,1.0,2.0,10.0,5.0,
Males,Total,Drug dependence,Serbia,6.0,12.0,11.0,21.0,18.0,33.0,27.0,
Total,Total,Drug dependence,Serbia,9.0,12.0,12.0,22.0,20.0,43.0,32.0,
Females,65 years or over,Intentional self-harm,Serbia,125.0,117.0,108.0,129.0,102.0,111.0,96.0,
Males,65 years or over,Intentional self-harm,Serbia,273.0,302.0,304.0,259.0,299.0,293.0,251.0,
Total,65 years or over,Intentional self-harm,Serbia,398.0,419.0,412.0,388.0,401.0,404.0,347.0,
Females,From 15 to 29 years,Intentional self-harm,Serbia,10.0,5.0,12.0,6.0,3.0,4.0,10.0,
Males,From 15 to 29 years,Intentional self-harm,Serbia,45.0,62.0,41.0,49.0,42.0,39.0,27.0,
Total,From 15 to 29 years,Intentional self-harm,Serbia,55.0,67.0,53.0,55.0,45.0,43.0,37.0,
Females,From 30 to 44 years,Intentional self-harm,Serbia,,,0.0,34.0,28.0,31.0,15.0,
Males,From 30 to 44 years,Intentional self-harm,Serbia,,,0.0,110.0,108.0,93.0,103.0,
Total,From 30 to 44 years,Intentional self-harm,Serbia,,,0.0,144.0,136.0,124.0,118.0,
Females,From 45 to 64 years,Intentional self-harm,Serbia,,,0.0,73.0,80.0,67.0,57.0,
Males,From 45 to 64 years,Intentional self-harm,Serbia,,,0.0,278.0,233.0,243.0,210.0,
Total,From 45 to 64 years,Intentional self-harm,Serbia,,,0.0,351.0,313.0,310.0,267.0,
Females,Less than 15 years,Intentional self-harm,Serbia,1.0,0.0,0.0,1.0,0.0,1.0,1.0,
Males,Less than 15 years,Intentional self-harm,Serbia,4.0,0.0,1.0,2.0,0.0,1.0,0.0,
Total,Less than 15 years,Intentional self-harm,Serbia,5.0,0.0,1.0,3.0,0.0,2.0,1.0,
Females,Total,Intentional self-harm,Serbia,258.0,242.0,229.0,243.0,213.0,214.0,179.0,
Males,Total,Intentional self-harm,Serbia,704.0,763.0,720.0,698.0,682.0,669.0,591.0,
Total,Total,Intentional self-harm,Serbia,962.0,1005.0,949.0,941.0,895.0,883.0,770.0,
Females,65 years or over,Mental and behavioural disorders,Serbia,900.0,962.0,967.0,972.0,1040.0,1148.0,1096.0,0.0
Males,65 years or over,Mental and behavioural disorders,Serbia,585.0,580.0,570.0,563.0,619.0,624.0,675.0,0.0
Total,65 years or over,Mental and behavioural disorders,Serbia,1485.0,1542.0,1537.0,1535.0,1659.0,1772.0,1771.0,0.0
Females,From 15 to 29 years,Mental and behavioural disorders,Serbia,3.0,2.0,0.0,4.0,0.0,0.0,4.0,0.0
Males,From 15 to 29 years,Mental and behavioural disorders,Serbia,4.0,1.0,5.0,6.0,2.0,9.0,3.0,0.0
Total,From 15 to 29 years,Mental and behavioural disorders,Serbia,7.0,3.0,5.0,10.0,2.0,9.0,7.0,0.0
Females,From 30 to 44 years,Mental and behavioural disorders,Serbia,0.0,0.0,0.0,7.0,13.0,15.0,12.0,0.0
Males,From 30 to 44 years,Mental and behavioural disorders,Serbia,0.0,0.0,0.0,34.0,45.0,60.0,58.0,0.0
Total,From 30 to 44 years,Mental and behavioural disorders,Serbia,0.0,0.0,0.0,41.0,58.0,75.0,70.0,0.0
Females,From 45 to 64 years,Mental and behavioural disorders,Serbia,0.0,0.0,0.0,100.0,105.0,79.0,104.0,0.0
Males,From 45 to 64 years,Mental and behavioural disorders,Serbia,0.0,0.0,0.0,204.0,235.0,262.0,252.0,0.0
Total,From 45 to 64 years,Mental and behavioural disorders,Serbia,0.0,0.0,0.0,304.0,340.0,341.0,356.0,0.0
Females,Less than 15 years,Mental and behavioural disorders,Serbia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Males,Less than 15 years,Mental and behavioural disorders,Serbia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,Less than 15 years,Mental and behavioural disorders,Serbia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Females,Total,Mental and behavioural disorders,Serbia,995.0,1068.0,1032.0,1083.0,1159.0,1242.0,1217.0,0.0
Males,Total,Mental and behavioural disorders,Serbia,829.0,834.0,773.0,807.0,901.0,956.0,988.0,0.0
Total,Total,Mental and behavioural disorders,Serbia,1824.0,1902.0,1805.0,1890.0,2060.0,2198.0,2205.0,0.0
Females,65 years or over,Total,Serbia,42882.0,44593.0,43750.0,43516.0,48969.0,58104.0,47535.0,
Males,65 years or over,Total,Serbia,37176.0,38411.0,38278.0,38416.0,45832.0,53764.0,42471.0,
Total,65 years or over,Total,Serbia,80058.0,83004.0,82028.0,81932.0,94801.0,111868.0,90006.0,
Females,From 15 to 29 years,Total,Serbia,157.0,124.0,125.0,135.0,141.0,170.0,123.0,
Males,From 15 to 29 years,Total,Serbia,382.0,366.0,352.0,339.0,363.0,387.0,377.0,
Total,From 15 to 29 years,Total,Serbia,539.0,490.0,477.0,474.0,504.0,557.0,500.0,
Females,From 30 to 44 years,Total,Serbia,,,0.0,572.0,621.0,747.0,660.0,
Males,From 30 to 44 years,Total,Serbia,,,0.0,1230.0,1429.0,1647.0,1215.0,
Total,From 30 to 44 years,Total,Serbia,,,0.0,1802.0,2050.0,2394.0,1875.0,
Females,From 45 to 64 years,Total,Serbia,,,0.0,5599.0,6325.0,7263.0,5576.0,
Males,From 45 to 64 years,Total,Serbia,,,0.0,10805.0,12269.0,13358.0,10345.0,
Total,From 45 to 64 years,Total,Serbia,,,0.0,16404.0,18594.0,20621.0,15921.0,
Females,Less than 15 years,Total,Serbia,194.0,200.0,216.0,187.0,175.0,172.0,157.0,
Males,Less than 15 years,Total,Serbia,276.0,262.0,249.0,245.0,257.0,252.0,215.0,
Total,Less than 15 years,Total,Serbia,470.0,462.0,465.0,432.0,432.0,424.0,372.0,
Females,Total,Total,Serbia,50002.0,51813.0,50533.0,50019.0,56252.0,66470.0,54064.0,
Males,Total,Total,Serbia,50517.0,51536.0,50782.0,51078.0,60202.0,69457.0,54676.0,
Total,Total,Total,Serbia,100519.0,103349.0,101315.0,101097.0,116454.0,135927.0,108740.0,
Females,65 years or over,Use of alcohol,Serbia,7.0,10.0,9.0,13.0,12.0,15.0,44.0,
Males,65 years or over,Use of alcohol,Serbia,82.0,91.0,77.0,69.0,94.0,86.0,111.0,
Total,65 years or over,Use of alcohol,Serbia,89.0,101.0,86.0,82.0,106.0,101.0,155.0,
Females,From 15 to 29 years,Use of alcohol,Serbia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Males,From 15 to 29 years,Use of alcohol,Serbia,1.0,1.0,1.0,1.0,0.0,0.0,1.0,
Total,From 15 to 29 years,Use of alcohol,Serbia,1.0,1.0,1.0,1.0,0.0,0.0,1.0,
Females,From 30 to 44 years,Use of alcohol,Serbia,,,0.0,1.0,0.0,0.0,1.0,
Males,From 30 to 44 years,Use of alcohol,Serbia,,,0.0,16.0,10.0,22.0,17.0,
Total,From 30 to 44 years,Use of alcohol,Serbia,,,0.0,17.0,10.0,22.0,18.0,
Females,From 45 to 64 years,Use of alcohol,Serbia,,,0.0,10.0,10.0,3.0,7.0,
Males,From 45 to 64 years,Use of alcohol,Serbia,,,0.0,123.0,140.0,124.0,126.0,
Total,From 45 to 64 years,Use of alcohol,Serbia,,,0.0,133.0,150.0,127.0,133.0,
Females,Less than 15 years,Use of alcohol,Serbia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Males,Less than 15 years,Use of alcohol,Serbia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Total,Less than 15 years,Use of alcohol,Serbia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Females,Total,Use of alcohol,Serbia,18.0,18.0,21.0,24.0,22.0,18.0,52.0,
Males,Total,Use of alcohol,Serbia,228.0,248.0,197.0,209.0,244.0,233.0,255.0,
Total,Total,Use of alcohol,Serbia,246.0,266.0,218.0,233.0,266.0,251.0,307.0,
Females,65 years or over,Drug dependence,Slovakia,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Males,65 years or over,Drug dependence,Slovakia,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Total,65 years or over,Drug dependence,Slovakia,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0
Females,From 15 to 29 years,Drug dependence,Slovakia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Males,From 15 to 29 years,Drug dependence,Slovakia,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Total,From 15 to 29 years,Drug dependence,Slovakia,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Females,From 30 to 44 years,Drug dependence,Slovakia,,,0.0,0.0,0.0,0.0,0.0,1.0
Males,From 30 to 44 years,Drug dependence,Slovakia,,,0.0,1.0,4.0,0.0,0.0,0.0
Total,From 30 to 44 years,Drug dependence,Slovakia,,,0.0,1.0,4.0,0.0,0.0,1.0
Females,From 45 to 64 years,Drug dependence,Slovakia,,,0.0,0.0,0.0,0.0,0.0,0.0
Males,From 45 to 64 years,Drug dependence,Slovakia,,,0.0,1.0,0.0,1.0,0.0,0.0
Total,From 45 to 64 years,Drug dependence,Slovakia,,,0.0,1.0,0.0,1.0,0.0,0.0
Females,Less than 15 years,Drug dependence,Slovakia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Males,Less than 15 years,Drug dependence,Slovakia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,Less than 15 years,Drug dependence,Slovakia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Females,Total,Drug dependence,Slovakia,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0
Males,Total,Drug dependence,Slovakia,0.0,3.0,3.0,4.0,4.0,1.0,0.0,0.0
Total,Total,Drug dependence,Slovakia,0.0,5.0,4.0,4.0,4.0,2.0,0.0,1.0
Females,65 years or over,Intentional self-harm,Slovakia,18.0,14.0,28.0,21.0,13.0,20.0,20.0,14.0
Males,65 years or over,Intentional self-harm,Slovakia,59.0,64.0,78.0,78.0,85.0,88.0,86.0,73.0
Total,65 years or over,Intentional self-harm,Slovakia,77.0,78.0,106.0,99.0,98.0,108.0,106.0,87.0
Females,From 15 to 29 years,Intentional self-harm,Slovakia,4.0,2.0,7.0,7.0,5.0,8.0,6.0,9.0
Males,From 15 to 29 years,Intentional self-harm,Slovakia,42.0,43.0,48.0,47.0,33.0,41.0,33.0,30.0
Total,From 15 to 29 years,Intentional self-harm,Slovakia,46.0,45.0,55.0,54.0,38.0,49.0,39.0,39.0
Females,From 30 to 44 years,Intentional self-harm,Slovakia,,,0.0,12.0,9.0,8.0,10.0,9.0
Males,From 30 to 44 years,Intentional self-harm,Slovakia,,,0.0,74.0,73.0,81.0,75.0,73.0
Total,From 30 to 44 years,Intentional self-harm,Slovakia,,,0.0,86.0,82.0,89.0,85.0,82.0
Females,From 45 to 64 years,Intentional self-harm,Slovakia,,,0.0,17.0,20.0,24.0,26.0,21.0
Males,From 45 to 64 years,Intentional self-harm,Slovakia,,,0.0,111.0,123.0,119.0,130.0,116.0
Total,From 45 to 64 years,Intentional self-harm,Slovakia,,,0.0,128.0,143.0,143.0,156.0,137.0
Females,Less than 15 years,Intentional self-harm,Slovakia,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0
Males,Less than 15 years,Intentional self-harm,Slovakia,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
Total,Less than 15 years,Intentional self-harm,Slovakia,1.0,2.0,3.0,1.0,1.0,2.0,0.0,0.0
Females,Total,Intentional self-harm,Slovakia,60.0,67.0,75.0,57.0,48.0,61.0,62.0,53.0
Males,Total,Intentional self-harm,Slovakia,330.0,310.0,341.0,311.0,314.0,330.0,324.0,292.0
Total,Total,Intentional self-harm,Slovakia,390.0,377.0,416.0,368.0,362.0,391.0,386.0,345.0
Females,65 years or over,Mental and behavioural disorders,Slovakia,496.0,378.0,400.0,383.0,389.0,211.0,212.0,27.0
Males,65 years or over,Mental and behavioural disorders,Slovakia,233.0,204.0,255.0,230.0,207.0,146.0,121.0,25.0
Total,65 years or over,Mental and behavioural disorders,Slovakia,729.0,582.0,655.0,613.0,596.0,357.0,333.0,52.0
Females,From 15 to 29 years,Mental and behavioural disorders,Slovakia,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Males,From 15 to 29 years,Mental and behavioural disorders,Slovakia,0.0,0.0,1.0,5.0,0.0,3.0,1.0,0.0
Total,From 15 to 29 years,Mental and behavioural disorders,Slovakia,2.0,0.0,1.0,5.0,0.0,3.0,1.0,0.0
Females,From 30 to 44 years,Mental and behavioural disorders,Slovakia,0.0,0.0,0.0,2.0,0.0,2.0,1.0,4.0
Males,From 30 to 44 years,Mental and behavioural disorders,Slovakia,0.0,0.0,0.0,27.0,21.0,16.0,11.0,10.0
Total,From 30 to 44 years,Mental and behavioural disorders,Slovakia,0.0,0.0,0.0,29.0,21.0,18.0,12.0,14.0
Females,From 45 to 64 years,Mental and behavioural disorders,Slovakia,0.0,0.0,0.0,39.0,16.0,15.0,6.0,2.0
Males,From 45 to 64 years,Mental and behavioural disorders,Slovakia,0.0,0.0,0.0,142.0,122.0,103.0,94.0,33.0
Total,From 45 to 64 years,Mental and behavioural disorders,Slovakia,0.0,0.0,0.0,181.0,138.0,118.0,100.0,35.0
Females,Less than 15 years,Mental and behavioural disorders,Slovakia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Males,Less than 15 years,Mental and behavioural disorders,Slovakia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,Less than 15 years,Mental and behavioural disorders,Slovakia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Females,Total,Mental and behavioural disorders,Slovakia,518.0,405.0,436.0,424.0,405.0,228.0,219.0,33.0
Males,Total,Mental and behavioural disorders,Slovakia,352.0,317.0,385.0,404.0,350.0,268.0,227.0,68.0
Total,Total,Mental and behavioural disorders,Slovakia,870.0,722.0,821.0,828.0,755.0,496.0,446.0,101.0
Females,65 years or over,Total,Slovakia,21367.0,22170.0,22294.0,21744.0,24493.0,30272.0,24794.0,22461.0
Males,65 years or over,Total,Slovakia,17257.0,17957.0,18282.0,18228.0,21148.0,26250.0,21421.0,19540.0
Total,65 years or over,Total,Slovakia,38624.0,40127.0,40576.0,39972.0,45641.0,56522.0,46215.0,42001.0
Females,From 15 to 29 years,Total,Slovakia,128.0,130.0,131.0,119.0,105.0,120.0,101.0,99.0
Males,From 15 to 29 years,Total,Slovakia,308.0,341.0,311.0,311.0,302.0,339.0,281.0,281.0
Total,From 15 to 29 years,Total,Slovakia,436.0,471.0,442.0,430.0,407.0,459.0,382.0,380.0
Females,From 30 to 44 years,Total,Slovakia,,,0.0,439.0,423.0,562.0,430.0,439.0
Males,From 30 to 44 years,Total,Slovakia,,,0.0,1043.0,1125.0,1367.0,1173.0,1111.0
Total,From 30 to 44 years,Total,Slovakia,,,0.0,1482.0,1548.0,1929.0,1603.0,1550.0
Females,From 45 to 64 years,Total,Slovakia,,,0.0,3169.0,3308.0,4272.0,3151.0,2897.0
Males,From 45 to 64 years,Total,Slovakia,,,0.0,7224.0,7379.0,9455.0,7303.0,6470.0
Total,From 45 to 64 years,Total,Slovakia,,,0.0,10393.0,10687.0,13727.0,10454.0,9367.0
Females,Less than 15 years,Total,Slovakia,181.0,158.0,191.0,187.0,182.0,175.0,182.0,171.0
Males,Less than 15 years,Total,Slovakia,241.0,228.0,235.0,239.0,235.0,221.0,236.0,233.0
Total,Less than 15 years,Total,Slovakia,422.0,386.0,426.0,426.0,417.0,396.0,418.0,404.0
Females,Total,Total,Slovakia,25446.0,26278.0,26371.0,25658.0,28511.0,35401.0,28658.0,26067.0
Males,Total,Total,Slovakia,26460.0,27213.0,27430.0,27045.0,30189.0,37632.0,30414.0,27635.0
Total,Total,Total,Slovakia,51906.0,53491.0,53801.0,52703.0,58700.0,73033.0,59072.0,53702.0
Females,65 years or over,Use of alcohol,Slovakia,3.0,4.0,3.0,6.0,3.0,2.0,7.0,3.0
Males,65 years or over,Use of alcohol,Slovakia,16.0,23.0,41.0,51.0,62.0,44.0,36.0,13.0
