age,sex,level,country,2016,2017,2018,2019,2020,2021,2022
From 55 to 59 years,Males,Bachelor's or equivalent level,Finland,547.0,574.0,592.0,613.0,627.0,590.0,599.0
From 55 to 59 years,Males,Bachelor's or equivalent level,France,607.0,596.0,668.0,632.0,659.0,560.0,589.0
From 55 to 59 years,Males,Bachelor's or equivalent level,Croatia,17.0,19.0,9.0,15.0,19.0,17.0,16.0
From 55 to 59 years,Males,Bachelor's or equivalent level,Hungary,212.0,175.0,193.0,237.0,246.0,238.0,266.0
From 55 to 59 years,Males,Bachelor's or equivalent level,Ireland,279.0,257.0,232.0,221.0,206.0,198.0,173.0
From 55 to 59 years,Males,Bachelor's or equivalent level,Iceland,36.0,32.0,41.0,36.0,34.0,41.0,37.0
From 55 to 59 years,Males,Bachelor's or equivalent level,Italy,2063.0,2223.0,2466.0,2800.0,3260.0,3542.0,3518.0
From 55 to 59 years,Males,Bachelor's or equivalent level,Liechtenstein,0.0,0.0,0.0,1.0,2.0,0.0,0.0
From 55 to 59 years,Males,Bachelor's or equivalent level,Lithuania,35.0,36.0,36.0,36.0,42.0,58.0,55.0
From 55 to 59 years,Males,Bachelor's or equivalent level,Luxembourg,0.0,1.0,5.0,1.0,2.0,2.0,1.0
From 55 to 59 years,Males,Bachelor's or equivalent level,Latvia,36.0,42.0,55.0,36.0,27.0,40.0,33.0
From 55 to 59 years,Males,Bachelor's or equivalent level,Montenegro,,,3.0,4.0,2.0,5.0,
From 55 to 59 years,Males,Bachelor's or equivalent level,North Macedonia,29.0,44.0,59.0,33.0,50.0,60.0,66.0
From 55 to 59 years,Males,Bachelor's or equivalent level,Malta,4.0,6.0,8.0,7.0,8.0,16.0,17.0
From 55 to 59 years,Males,Bachelor's or equivalent level,Netherlands,856.0,1700.0,1712.0,2456.0,2284.0,2297.0,1054.0
From 55 to 59 years,Males,Bachelor's or equivalent level,Norway,626.0,679.0,695.0,781.0,710.0,705.0,793.0
From 55 to 59 years,Males,Bachelor's or equivalent level,Poland,1003.0,995.0,969.0,946.0,927.0,918.0,960.0
From 55 to 59 years,Males,Bachelor's or equivalent level,Portugal,512.0,481.0,462.0,466.0,470.0,504.0,534.0
From 55 to 59 years,Males,Bachelor's or equivalent level,Romania,,,,,,,407.0
From 55 to 59 years,Males,Bachelor's or equivalent level,Serbia,82.0,96.0,86.0,75.0,51.0,54.0,51.0
From 55 to 59 years,Males,Bachelor's or equivalent level,Sweden,830.0,910.0,949.0,1022.0,1332.0,1524.0,1471.0
From 55 to 59 years,Males,Bachelor's or equivalent level,Slovenia,6.0,8.0,19.0,14.0,7.0,10.0,10.0
From 55 to 59 years,Males,Bachelor's or equivalent level,Slovakia,2.0,0.0,1.0,1.0,0.0,2.0,14.0
From 55 to 59 years,Males,Bachelor's or equivalent level,Turkey,5637.0,6648.0,8216.0,10288.0,12533.0,14581.0,37966.0
From 55 to 59 years,Males,Bachelor's or equivalent level,United Kingdom,2453.0,2462.0,2403.0,2900.0,,,
From 55 to 59 years,Males,Bachelor's or equivalent level - academic,Albania,,,,,,,
From 55 to 59 years,Males,Bachelor's or equivalent level - academic,Austria,,,,412.0,386.0,378.0,400.0
From 55 to 59 years,Males,Bachelor's or equivalent level - academic,Bosnia and Herzegovina,,,,,,,
From 55 to 59 years,Males,Bachelor's or equivalent level - academic,Belgium,28.0,36.0,37.0,37.0,40.0,32.0,38.0
From 55 to 59 years,Males,Bachelor's or equivalent level - academic,Bulgaria,,,,,,,
From 55 to 59 years,Males,Bachelor's or equivalent level - academic,Switzerland,141.0,154.0,174.0,198.0,178.0,199.0,194.0
From 55 to 59 years,Males,Bachelor's or equivalent level - academic,Cyprus,,,,,,,
From 55 to 59 years,Males,Bachelor's or equivalent level - academic,Czechia,94.0,100.0,100.0,94.0,133.0,165.0,152.0
From 55 to 59 years,Males,Bachelor's or equivalent level - academic,Germany,1602.0,1854.0,2030.0,2264.0,2510.0,2908.0,3134.0
From 55 to 59 years,Males,Bachelor's or equivalent level - academic,Denmark,58.0,53.0,46.0,48.0,35.0,46.0,53.0
From 55 to 59 years,Males,Bachelor's or equivalent level - academic,Estonia,,,,,,,
From 55 to 59 years,Males,Bachelor's or equivalent level - academic,Greece,3494.0,3705.0,3666.0,4208.0,4566.0,5313.0,6286.0
From 55 to 59 years,Males,Bachelor's or equivalent level - academic,Spain,,,,,,,
From 55 to 59 years,Males,Bachelor's or equivalent level - academic,Finland,,,,,,,
From 55 to 59 years,Males,Bachelor's or equivalent level - academic,France,298.0,280.0,352.0,310.0,325.0,292.0,304.0
From 55 to 59 years,Males,Bachelor's or equivalent level - academic,Croatia,5.0,5.0,1.0,3.0,8.0,7.0,6.0
From 55 to 59 years,Males,Bachelor's or equivalent level - academic,Hungary,,,,,,,
From 55 to 59 years,Males,Bachelor's or equivalent level - academic,Ireland,,,,,,,
From 55 to 59 years,Males,Bachelor's or equivalent level - academic,Iceland,,,,,,,
From 55 to 59 years,Males,Bachelor's or equivalent level - academic,Italy,,,,,,,
From 55 to 59 years,Males,Bachelor's or equivalent level - academic,Liechtenstein,0.0,0.0,0.0,1.0,2.0,0.0,0.0
From 55 to 59 years,Males,Bachelor's or equivalent level - academic,Lithuania,14.0,14.0,9.0,10.0,11.0,21.0,18.0
From 55 to 59 years,Males,Bachelor's or equivalent level - academic,Luxembourg,0.0,1.0,5.0,1.0,2.0,1.0,1.0
From 55 to 59 years,Males,Bachelor's or equivalent level - academic,Latvia,9.0,9.0,6.0,14.0,7.0,9.0,8.0
From 55 to 59 years,Males,Bachelor's or equivalent level - academic,Montenegro,,,3.0,4.0,2.0,2.0,
From 55 to 59 years,Males,Bachelor's or equivalent level - academic,North Macedonia,21.0,42.0,48.0,31.0,41.0,49.0,58.0
From 55 to 59 years,Males,Bachelor's or equivalent level - academic,Malta,,,,,,14.0,17.0
From 55 to 59 years,Males,Bachelor's or equivalent level - academic,Netherlands,,,,775.0,997.0,1002.0,190.0
From 55 to 59 years,Males,Bachelor's or equivalent level - academic,Norway,626.0,679.0,695.0,781.0,710.0,705.0,793.0
From 55 to 59 years,Males,Bachelor's or equivalent level - academic,Poland,,,,,745.0,671.0,687.0
From 55 to 59 years,Males,Bachelor's or equivalent level - academic,Portugal,,,,,,,
From 55 to 59 years,Males,Bachelor's or equivalent level - academic,Romania,,,,,,,
From 55 to 59 years,Males,Bachelor's or equivalent level - academic,Serbia,37.0,42.0,46.0,47.0,28.0,30.0,30.0
From 55 to 59 years,Males,Bachelor's or equivalent level - academic,Sweden,,,,,,,
From 55 to 59 years,Males,Bachelor's or equivalent level - academic,Slovenia,1.0,3.0,7.0,6.0,1.0,5.0,4.0
From 55 to 59 years,Males,Bachelor's or equivalent level - academic,Slovakia,,,,,,,
From 55 to 59 years,Males,Bachelor's or equivalent level - academic,Turkey,,,,,,,
From 55 to 59 years,Males,Bachelor's or equivalent level - academic,United Kingdom,2453.0,2462.0,2403.0,2900.0,,,
From 55 to 59 years,Males,Bachelor's or equivalent level - professional,Albania,,,,,,,
From 55 to 59 years,Males,Bachelor's or equivalent level - professional,Austria,,,,,,,
From 55 to 59 years,Males,Bachelor's or equivalent level - professional,Bosnia and Herzegovina,,,,,,,
From 55 to 59 years,Males,Bachelor's or equivalent level - professional,Belgium,89.0,118.0,102.0,96.0,80.0,71.0,64.0
From 55 to 59 years,Males,Bachelor's or equivalent level - professional,Bulgaria,6.0,8.0,11.0,12.0,8.0,13.0,25.0
From 55 to 59 years,Males,Bachelor's or equivalent level - professional,Switzerland,86.0,77.0,93.0,102.0,99.0,97.0,113.0
From 55 to 59 years,Males,Bachelor's or equivalent level - professional,Cyprus,,,,,,,
From 55 to 59 years,Males,Bachelor's or equivalent level - professional,Czechia,8.0,9.0,9.0,10.0,17.0,14.0,20.0
From 55 to 59 years,Males,Bachelor's or equivalent level - professional,Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0
From 55 to 59 years,Males,Bachelor's or equivalent level - professional,Denmark,458.0,467.0,441.0,442.0,416.0,376.0,408.0
From 55 to 59 years,Males,Bachelor's or equivalent level - professional,Estonia,,,,,,,
From 55 to 59 years,Males,Bachelor's or equivalent level - professional,Greece,373.0,350.0,404.0,275.0,288.0,396.0,678.0
From 55 to 59 years,Males,Bachelor's or equivalent level - professional,Spain,,,,,,,
From 55 to 59 years,Males,Bachelor's or equivalent level - professional,Finland,,,,,,,
From 55 to 59 years,Males,Bachelor's or equivalent level - professional,France,308.0,317.0,316.0,322.0,334.0,268.0,285.0
From 55 to 59 years,Males,Bachelor's or equivalent level - professional,Croatia,12.0,14.0,8.0,12.0,11.0,10.0,10.0
From 55 to 59 years,Males,Bachelor's or equivalent level - professional,Hungary,,,,,,,
From 55 to 59 years,Males,Bachelor's or equivalent level - professional,Ireland,,,,,,,
From 55 to 59 years,Males,Bachelor's or equivalent level - professional,Iceland,,,,,,,
From 55 to 59 years,Males,Bachelor's or equivalent level - professional,Italy,,,,,,,
From 55 to 59 years,Males,Bachelor's or equivalent level - professional,Liechtenstein,,,,0.0,0.0,0.0,0.0
From 55 to 59 years,Males,Bachelor's or equivalent level - professional,Lithuania,21.0,22.0,27.0,26.0,31.0,37.0,37.0
From 55 to 59 years,Males,Bachelor's or equivalent level - professional,Luxembourg,0.0,0.0,0.0,0.0,0.0,1.0,0.0
From 55 to 59 years,Males,Bachelor's or equivalent level - professional,Latvia,27.0,33.0,49.0,22.0,20.0,31.0,25.0
From 55 to 59 years,Males,Bachelor's or equivalent level - professional,Montenegro,,,0.0,0.0,0.0,3.0,
From 55 to 59 years,Males,Bachelor's or equivalent level - professional,North Macedonia,8.0,2.0,11.0,2.0,9.0,11.0,8.0
From 55 to 59 years,Males,Bachelor's or equivalent level - professional,Malta,,,,,,2.0,0.0
From 55 to 59 years,Males,Bachelor's or equivalent level - professional,Netherlands,,,,1681.0,1287.0,1295.0,864.0
From 55 to 59 years,Males,Bachelor's or equivalent level - professional,Norway,,,,,,,
From 55 to 59 years,Males,Bachelor's or equivalent level - professional,Poland,,,,,182.0,247.0,273.0
From 55 to 59 years,Males,Bachelor's or equivalent level - professional,Portugal,,,,,,,
From 55 to 59 years,Males,Bachelor's or equivalent level - professional,Romania,,,,,,,
From 55 to 59 years,Males,Bachelor's or equivalent level - professional,Serbia,45.0,54.0,40.0,28.0,23.0,24.0,21.0
From 55 to 59 years,Males,Bachelor's or equivalent level - professional,Sweden,,,,,,,
From 55 to 59 years,Males,Bachelor's or equivalent level - professional,Slovenia,5.0,5.0,12.0,8.0,6.0,5.0,6.0
From 55 to 59 years,Males,Bachelor's or equivalent level - professional,Slovakia,,,,,,,
From 55 to 59 years,Males,Bachelor's or equivalent level - professional,Turkey,,,,,,,
From 55 to 59 years,Males,Bachelor's or equivalent level - professional,United Kingdom,,,,,,,
From 55 to 59 years,Males,Master's or equivalent level,Albania,,,,,,,
From 55 to 59 years,Males,Master's or equivalent level,Austria,575.0,597.0,633.0,691.0,745.0,802.0,785.0
From 55 to 59 years,Males,Master's or equivalent level,Bosnia and Herzegovina,,,18.0,12.0,14.0,21.0,12.0
From 55 to 59 years,Males,Master's or equivalent level,Belgium,143.0,179.0,149.0,147.0,144.0,171.0,171.0
From 55 to 59 years,Males,Master's or equivalent level,Bulgaria,95.0,106.0,118.0,145.0,155.0,150.0,165.0
From 55 to 59 years,Males,Master's or equivalent level,Switzerland,159.0,177.0,186.0,214.0,207.0,245.0,234.0
From 55 to 59 years,Males,Master's or equivalent level,Cyprus,68.0,77.0,83.0,72.0,90.0,94.0,99.0
From 55 to 59 years,Males,Master's or equivalent level,Czechia,56.0,44.0,114.0,131.0,148.0,143.0,153.0
From 55 to 59 years,Males,Master's or equivalent level,Germany,1362.0,1430.0,1554.0,1632.0,1746.0,1677.0,1823.0
From 55 to 59 years,Males,Master's or equivalent level,Denmark,198.0,176.0,182.0,168.0,160.0,158.0,170.0
From 55 to 59 years,Males,Master's or equivalent level,Estonia,9.0,14.0,18.0,23.0,20.0,19.0,24.0
From 55 to 59 years,Males,Master's or equivalent level,Greece,414.0,429.0,510.0,615.0,639.0,760.0,891.0
From 55 to 59 years,Males,Master's or equivalent level,Spain,1318.0,1060.0,949.0,1021.0,1138.0,1238.0,1429.0
From 55 to 59 years,Males,Master's or equivalent level,European Union,9676.0,10267.0,11388.0,11555.0,11977.0,12392.0,12792.0
From 55 to 59 years,Males,Master's or equivalent level,Finland,318.0,310.0,324.0,323.0,342.0,381.0,412.0
From 55 to 59 years,Males,Master's or equivalent level,France,1087.0,1090.0,1351.0,1363.0,1355.0,1161.0,1268.0
From 55 to 59 years,Males,Master's or equivalent level,Croatia,26.0,29.0,24.0,25.0,28.0,32.0,36.0
From 55 to 59 years,Males,Master's or equivalent level,Hungary,123.0,114.0,153.0,183.0,145.0,141.0,141.0
From 55 to 59 years,Males,Master's or equivalent level,Ireland,206.0,196.0,202.0,210.0,283.0,334.0,296.0
From 55 to 59 years,Males,Master's or equivalent level,Iceland,24.0,26.0,26.0,25.0,31.0,29.0,31.0
From 55 to 59 years,Males,Master's or equivalent level,Italy,1610.0,1606.0,1826.0,1947.0,2032.0,2253.0,1901.0
From 55 to 59 years,Males,Master's or equivalent level,Liechtenstein,0.0,0.0,0.0,0.0,0.0,0.0,0.0
From 55 to 59 years,Males,Master's or equivalent level,Lithuania,13.0,16.0,17.0,19.0,15.0,19.0,15.0
From 55 to 59 years,Males,Master's or equivalent level,Luxembourg,5.0,3.0,4.0,8.0,7.0,6.0,7.0
From 55 to 59 years,Males,Master's or equivalent level,Latvia,20.0,30.0,26.0,22.0,29.0,26.0,23.0
From 55 to 59 years,Males,Master's or equivalent level,Montenegro,,,3.0,2.0,6.0,3.0,
From 55 to 59 years,Males,Master's or equivalent level,North Macedonia,13.0,13.0,3.0,0.0,13.0,7.0,26.0
From 55 to 59 years,Males,Master's or equivalent level,Malta,15.0,18.0,18.0,28.0,37.0,41.0,37.0
From 55 to 59 years,Males,Master's or equivalent level,Netherlands,1122.0,1790.0,2150.0,1811.0,1687.0,1689.0,1645.0
From 55 to 59 years,Males,Master's or equivalent level,Norway,186.0,217.0,233.0,220.0,237.0,321.0,359.0
From 55 to 59 years,Males,Master's or equivalent level,Poland,304.0,310.0,316.0,319.0,312.0,291.0,278.0
From 55 to 59 years,Males,Master's or equivalent level,Portugal,289.0,307.0,306.0,338.0,335.0,328.0,289.0
From 55 to 59 years,Males,Master's or equivalent level,Romania,,,,,,,258.0
From 55 to 59 years,Males,Master's or equivalent level,Serbia,30.0,42.0,40.0,37.0,55.0,49.0,55.0
From 55 to 59 years,Males,Master's or equivalent level,Sweden,280.0,317.0,333.0,283.0,370.0,460.0,451.0
From 55 to 59 years,Males,Master's or equivalent level,Slovenia,13.0,15.0,22.0,24.0,16.0,18.0,21.0
From 55 to 59 years,Males,Master's or equivalent level,Slovakia,7.0,4.0,7.0,7.0,0.0,0.0,4.0
From 55 to 59 years,Males,Master's or equivalent level,Turkey,843.0,944.0,832.0,934.0,644.0,659.0,1860.0
From 55 to 59 years,Males,Master's or equivalent level,United Kingdom,2359.0,2622.0,2700.0,2917.0,,,
From 55 to 59 years,Males,Master's or equivalent level - academic,Albania,,,,,,,
From 55 to 59 years,Males,Master's or equivalent level - academic,Austria,,,,691.0,745.0,802.0,785.0
From 55 to 59 years,Males,Master's or equivalent level - academic,Bosnia and Herzegovina,,,,,,,
From 55 to 59 years,Males,Master's or equivalent level - academic,Belgium,143.0,179.0,149.0,147.0,144.0,171.0,171.0
From 55 to 59 years,Males,Master's or equivalent level - academic,Bulgaria,,,,,,,
From 55 to 59 years,Males,Master's or equivalent level - academic,Switzerland,150.0,167.0,170.0,200.0,193.0,233.0,221.0
From 55 to 59 years,Males,Master's or equivalent level - academic,Cyprus,,,,,,,
From 55 to 59 years,Males,Master's or equivalent level - academic,Czechia,56.0,44.0,114.0,131.0,148.0,143.0,153.0
From 55 to 59 years,Males,Master's or equivalent level - academic,Germany,1362.0,1430.0,1554.0,1632.0,1746.0,1677.0,1823.0
From 55 to 59 years,Males,Master's or equivalent level - academic,Denmark,89.0,61.0,79.0,65.0,70.0,67.0,62.0
From 55 to 59 years,Males,Master's or equivalent level - academic,Estonia,,,,,,,
From 55 to 59 years,Males,Master's or equivalent level - academic,Greece,377.0,365.0,436.0,556.0,639.0,760.0,891.0
From 55 to 59 years,Males,Master's or equivalent level - academic,Spain,,,,,,,
From 55 to 59 years,Males,Master's or equivalent level - academic,Finland,,,,,,,
From 55 to 59 years,Males,Master's or equivalent level - academic,France,305.0,351.0,914.0,25.0,33.0,19.0,16.0
From 55 to 59 years,Males,Master's or equivalent level - academic,Croatia,12.0,16.0,15.0,15.0,21.0,21.0,21.0
From 55 to 59 years,Males,Master's or equivalent level - academic,Hungary,,,,,,,
From 55 to 59 years,Males,Master's or equivalent level - academic,Ireland,,,,,,,
From 55 to 59 years,Males,Master's or equivalent level - academic,Iceland,,,,,,,
From 55 to 59 years,Males,Master's or equivalent level - academic,Italy,,,,,,,
From 55 to 59 years,Males,Master's or equivalent level - academic,Liechtenstein,0.0,,,0.0,0.0,0.0,0.0
From 55 to 59 years,Males,Master's or equivalent level - academic,Lithuania,13.0,15.0,15.0,17.0,15.0,19.0,15.0
From 55 to 59 years,Males,Master's or equivalent level - academic,Luxembourg,0.0,0.0,0.0,2.0,2.0,2.0,0.0
From 55 to 59 years,Males,Master's or equivalent level - academic,Latvia,6.0,7.0,9.0,6.0,12.0,12.0,11.0
From 55 to 59 years,Males,Master's or equivalent level - academic,Montenegro,,,3.0,2.0,6.0,2.0,
From 55 to 59 years,Males,Master's or equivalent level - academic,North Macedonia,13.0,13.0,2.0,0.0,11.0,7.0,22.0
From 55 to 59 years,Males,Master's or equivalent level - academic,Malta,,,,,,33.0,29.0
From 55 to 59 years,Males,Master's or equivalent level - academic,Netherlands,,,,1459.0,1485.0,1437.0,1386.0
From 55 to 59 years,Males,Master's or equivalent level - academic,Norway,186.0,217.0,233.0,220.0,237.0,321.0,359.0
From 55 to 59 years,Males,Master's or equivalent level - academic,Poland,,,,,262.0,176.0,171.0
From 55 to 59 years,Males,Master's or equivalent level - academic,Portugal,,,,,,,
From 55 to 59 years,Males,Master's or equivalent level - academic,Romania,,,,,,,
From 55 to 59 years,Males,Master's or equivalent level - academic,Serbia,30.0,42.0,40.0,31.0,39.0,39.0,38.0
From 55 to 59 years,Males,Master's or equivalent level - academic,Sweden,,,,,,,
From 55 to 59 years,Males,Master's or equivalent level - academic,Slovenia,0.0,,,,,,
From 55 to 59 years,Males,Master's or equivalent level - academic,Slovakia,,,,,,,
From 55 to 59 years,Males,Master's or equivalent level - academic,Turkey,,,,,,,
From 55 to 59 years,Males,Master's or equivalent level - academic,United Kingdom,2359.0,2622.0,2700.0,2917.0,,,
From 55 to 59 years,Males,Master's or equivalent level - professional,Albania,,,,,,,
From 55 to 59 years,Males,Master's or equivalent level - professional,Austria,,,,,,,
From 55 to 59 years,Males,Master's or equivalent level - professional,Bosnia and Herzegovina,,,,,,,
From 55 to 59 years,Males,Master's or equivalent level - professional,Belgium,,,,,,,
From 55 to 59 years,Males,Master's or equivalent level - professional,Bulgaria,,,,,,,
From 55 to 59 years,Males,Master's or equivalent level - professional,Switzerland,9.0,10.0,16.0,14.0,14.0,12.0,13.0
From 55 to 59 years,Males,Master's or equivalent level - professional,Cyprus,,,,,,,
From 55 to 59 years,Males,Master's or equivalent level - professional,Czechia,,,,,,,
From 55 to 59 years,Males,Master's or equivalent level - professional,Germany,,,,,,,0.0
From 55 to 59 years,Males,Master's or equivalent level - professional,Denmark,109.0,115.0,103.0,103.0,90.0,91.0,108.0
From 55 to 59 years,Males,Master's or equivalent level - professional,Estonia,,,,,,,
From 55 to 59 years,Males,Master's or equivalent level - professional,Greece,37.0,64.0,74.0,59.0,,,
From 55 to 59 years,Males,Master's or equivalent level - professional,Spain,,,,,,,
From 55 to 59 years,Males,Master's or equivalent level - professional,Finland,,,,,,,
From 55 to 59 years,Males,Master's or equivalent level - professional,France,782.0,739.0,437.0,410.0,414.0,382.0,418.0
From 55 to 59 years,Males,Master's or equivalent level - professional,Croatia,14.0,13.0,9.0,10.0,7.0,11.0,15.0
From 55 to 59 years,Males,Master's or equivalent level - professional,Hungary,,,,,,,
From 55 to 59 years,Males,Master's or equivalent level - professional,Ireland,,,,,,,
From 55 to 59 years,Males,Master's or equivalent level - professional,Iceland,,,,,,,
From 55 to 59 years,Males,Master's or equivalent level - professional,Italy,,,,,,,
From 55 to 59 years,Males,Master's or equivalent level - professional,Liechtenstein,,0.0,0.0,0.0,0.0,0.0,0.0
From 55 to 59 years,Males,Master's or equivalent level - professional,Lithuania,0.0,1.0,2.0,2.0,0.0,0.0,0.0
From 55 to 59 years,Males,Master's or equivalent level - professional,Luxembourg,5.0,3.0,4.0,6.0,5.0,4.0,7.0
From 55 to 59 years,Males,Master's or equivalent level - professional,Latvia,14.0,23.0,17.0,16.0,17.0,14.0,12.0
From 55 to 59 years,Males,Master's or equivalent level - professional,Montenegro,,,0.0,0.0,0.0,1.0,
From 55 to 59 years,Males,Master's or equivalent level - professional,North Macedonia,0.0,0.0,1.0,0.0,2.0,0.0,4.0
From 55 to 59 years,Males,Master's or equivalent level - professional,Malta,,,,,,8.0,8.0
From 55 to 59 years,Males,Master's or equivalent level - professional,Netherlands,,,,352.0,202.0,252.0,259.0
From 55 to 59 years,Males,Master's or equivalent level - professional,Norway,,,,,,,
From 55 to 59 years,Males,Master's or equivalent level - professional,Poland,,,,,50.0,115.0,107.0
From 55 to 59 years,Males,Master's or equivalent level - professional,Portugal,,,,,,,
From 55 to 59 years,Males,Master's or equivalent level - professional,Romania,,,,,,,
From 55 to 59 years,Males,Master's or equivalent level - professional,Serbia,,,,6.0,16.0,10.0,17.0
From 55 to 59 years,Males,Master's or equivalent level - professional,Sweden,,,,,,,
From 55 to 59 years,Males,Master's or equivalent level - professional,Slovenia,0.0,,,,,,
From 55 to 59 years,Males,Master's or equivalent level - professional,Slovakia,,,,,,,
From 55 to 59 years,Males,Master's or equivalent level - professional,Turkey,,,,,,,
From 55 to 59 years,Males,Master's or equivalent level - professional,United Kingdom,,,,,,,
From 55 to 59 years,Males,Doctoral or equivalent level,Albania,,,,,,,
From 55 to 59 years,Males,Doctoral or equivalent level,Austria,228.0,273.0,209.0,211.0,213.0,204.0,195.0
From 55 to 59 years,Males,Doctoral or equivalent level,Bosnia and Herzegovina,,,11.0,15.0,11.0,21.0,23.0
From 55 to 59 years,Males,Doctoral or equivalent level,Belgium,108.0,131.0,119.0,115.0,123.0,121.0,107.0
From 55 to 59 years,Males,Doctoral or equivalent level,Bulgaria,108.0,129.0,118.0,127.0,109.0,103.0,115.0
From 55 to 59 years,Males,Doctoral or equivalent level,Switzerland,93.0,103.0,105.0,106.0,117.0,118.0,113.0
From 55 to 59 years,Males,Doctoral or equivalent level,Cyprus,10.0,13.0,16.0,15.0,15.0,16.0,24.0
From 55 to 59 years,Males,Doctoral or equivalent level,Czechia,141.0,125.0,120.0,133.0,131.0,137.0,138.0
From 55 to 59 years,Males,Doctoral or equivalent level,Germany,1200.0,1200.0,1300.0,1300.0,0.0,0.0,0.0
From 55 to 59 years,Males,Doctoral or equivalent level,Denmark,36.0,27.0,24.0,16.0,16.0,18.0,16.0
From 55 to 59 years,Males,Doctoral or equivalent level,Estonia,13.0,10.0,11.0,8.0,9.0,11.0,10.0
From 55 to 59 years,Males,Doctoral or equivalent level,Greece,403.0,344.0,422.0,494.0,530.0,633.0,600.0
From 55 to 59 years,Males,Doctoral or equivalent level,Spain,924.0,1212.0,1511.0,1689.0,1815.0,1838.0,1926.0
From 55 to 59 years,Males,Doctoral or equivalent level,European Union,4860.0,5176.0,5640.0,5894.0,4777.0,4866.0,5171.0
From 55 to 59 years,Males,Doctoral or equivalent level,Finland,443.0,429.0,419.0,379.0,409.0,437.0,447.0
From 55 to 59 years,Males,Doctoral or equivalent level,France,288.0,281.0,306.0,305.0,313.0,307.0,327.0
From 55 to 59 years,Males,Doctoral or equivalent level,Croatia,29.0,20.0,27.0,26.0,24.0,22.0,28.0
From 55 to 59 years,Males,Doctoral or equivalent level,Hungary,27.0,29.0,30.0,32.0,41.0,44.0,52.0
From 55 to 59 years,Males,Doctoral or equivalent level,Ireland,94.0,103.0,116.0,112.0,93.0,80.0,82.0
From 55 to 59 years,Males,Doctoral or equivalent level,Iceland,7.0,9.0,8.0,7.0,7.0,9.0,6.0
From 55 to 59 years,Males,Doctoral or equivalent level,Italy,56.0,60.0,62.0,73.0,75.0,65.0,70.0
From 55 to 59 years,Males,Doctoral or equivalent level,Liechtenstein,4.0,2.0,5.0,6.0,9.0,7.0,8.0
From 55 to 59 years,Males,Doctoral or equivalent level,Lithuania,5.0,7.0,10.0,6.0,5.0,7.0,9.0
From 55 to 59 years,Males,Doctoral or equivalent level,Luxembourg,0.0,2.0,2.0,1.0,1.0,2.0,4.0
From 55 to 59 years,Males,Doctoral or equivalent level,Latvia,21.0,14.0,19.0,30.0,28.0,27.0,20.0
From 55 to 59 years,Males,Doctoral or equivalent level,Montenegro,,,1.0,2.0,0.0,0.0,
From 55 to 59 years,Males,Doctoral or equivalent level,North Macedonia,7.0,4.0,2.0,0.0,4.0,3.0,4.0
From 55 to 59 years,Males,Doctoral or equivalent level,Malta,7.0,9.0,17.0,27.0,29.0,30.0,45.0
From 55 to 59 years,Males,Doctoral or equivalent level,Netherlands,15.0,15.0,16.0,16.0,17.0,17.0,
From 55 to 59 years,Males,Doctoral or equivalent level,Norway,73.0,63.0,63.0,53.0,61.0,51.0,61.0
From 55 to 59 years,Males,Doctoral or equivalent level,Poland,108.0,146.0,172.0,176.0,157.0,122.0,99.0
From 55 to 59 years,Males,Doctoral or equivalent level,Portugal,385.0,410.0,412.0,430.0,443.0,443.0,444.0
From 55 to 59 years,Males,Doctoral or equivalent level,Romania,,,,,,,160.0
From 55 to 59 years,Males,Doctoral or equivalent level,Serbia,40.0,44.0,72.0,78.0,85.0,88.0,100.0
From 55 to 59 years,Males,Doctoral or equivalent level,Sweden,193.0,158.0,157.0,144.0,153.0,150.0,152.0
From 55 to 59 years,Males,Doctoral or equivalent level,Slovenia,15.0,26.0,25.0,28.0,27.0,32.0,36.0
From 55 to 59 years,Males,Doctoral or equivalent level,Slovakia,3.0,3.0,0.0,0.0,0.0,0.0,65.0
From 55 to 59 years,Males,Doctoral or equivalent level,Turkey,488.0,609.0,608.0,654.0,615.0,638.0,1826.0
From 55 to 59 years,Males,Doctoral or equivalent level,United Kingdom,1074.0,1069.0,1082.0,1075.0,,,
From 55 to 59 years,Total,Short-cycle tertiary education,Albania,,,,,,,
From 55 to 59 years,Total,Short-cycle tertiary education,Austria,341.0,318.0,320.0,304.0,372.0,369.0,379.0
From 55 to 59 years,Total,Short-cycle tertiary education,Bosnia and Herzegovina,,,,,,,0.0
From 55 to 59 years,Total,Short-cycle tertiary education,Belgium,412.0,328.0,163.0,152.0,84.0,94.0,107.0
From 55 to 59 years,Total,Short-cycle tertiary education,Bulgaria,,,,,,,
From 55 to 59 years,Total,Short-cycle tertiary education,Switzerland,110.0,129.0,112.0,132.0,114.0,104.0,110.0
From 55 to 59 years,Total,Short-cycle tertiary education,Cyprus,0.0,0.0,12.0,13.0,18.0,13.0,18.0
From 55 to 59 years,Total,Short-cycle tertiary education,Czechia,2.0,2.0,2.0,1.0,0.0,0.0,0.0
From 55 to 59 years,Total,Short-cycle tertiary education,Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0
From 55 to 59 years,Total,Short-cycle tertiary education,Denmark,377.0,444.0,538.0,550.0,627.0,669.0,767.0
From 55 to 59 years,Total,Short-cycle tertiary education,Estonia,,,,,,,
From 55 to 59 years,Total,Short-cycle tertiary education,Greece,,,,,,,
